site_no,latitude_dms,longitude_dms
393617075380001,"39°36'17.12""","75°38'00.08"""
393617075380403,"39°36'16.80""","75°38'03.55"""
384637075153201,"38°46'37.4""","75°15'31.9"""
393617075380002,"39°36'17.12""","75°38'00.08"""
393617075380402,"39°36'16.8""","75°38'03.55"""
390808075293901,"39°08'08.5""","75°29'38.3"""
392043075403301,"39°20'43.69""","75°40'33.82"""
390825075295601,"39°08'25.62""","75°29'56.94"""
394432075430701,"39°44'32.93""","75°43'07.03"""
390832075290501,"39°08'32.3""","75°29'05.3"""
