site_no,latitude_dms,longitude_dms
393617075380001,"39°36'17.12""","75°38'00.08"""
393617075380403,"39°36'16.80""","75°38'03.55"""
384637075153201,"38°46'37.4""","75°15'31.9"""
393617075380002,"39°36'17.12""","75°38'00.08"""
393617075380402,"39°36'16.8""","75°38'03.55"""
390808075293901,"39°08'08.5""","75°29'38.3"""
392043075403301,"39°20'43.69""","75°40'33.82"""
390825075295601,"39°08'25.62""","75°29'56.94"""
394432075430701,"39°44'32.93""","75°43'07.03"""
390832075290501,"39°08'32.3""","75°29'05.3"""
390822075292901,"39°08'21.7""","75°29'29.3"""
390832075290502,"39°08'32.2""","75°29'05.2"""
390822075292902,"39°08'21.6""","75°29'29.3"""
385041075395602,"38°50'42.8""","75°39'56.5"""
390723075284601,"39°08'04.9""","75°29'36.0"""
391933075435001,"39°19'32.9""","75°43'49.8"""
383730075213501,"38°38'37.1""","75°21'34.6"""
384954075192701,"38°49'54.98""","75°19'27.91"""
390808075293801,"39°08'08.5""","75°29'38.3"""
390837075291401,"39°08'36.7""","75°29'13.9"""
390804075293501,"39°08'04.0""","75°29'35.1"""
390757075294101,"39°07'57.58""","75°29'41.57"""
390837075291402,"39°08'36.7""","75°29'13.9"""
415318085243401,"41°53'18.44""","85°24'33.61"""
422202083023101,"42°22'01.83""","83°02'30.96"""
421641085350601,"42°16'41""","85°35'06"""
422206083024402,"42°22'05.67""","83°02'43.59"""
414823084564601,"41°48'22.62""","84°56'45.78"""
415122085515602,"41°51'21.93""","85°51'56.34"""
420939086223301,"42°09'39.13""","86°22'33.22"""
422201083023702,"42°22'00.69""","83°02'36.79"""
454427084424002,"45°44'27""","84°42'40"""
421614085270801,"42°16'14""","85°27'08"""
414833084564601,"41°48'32.90""","84°56'46.17"""
421716085373702,"42°17'16""","85°37'37"""
420931086224401,"42°09'30.70""","86°22'44.27"""
424502084331301,"42°45'02""","84°33'13"""
421332085401901,"42°13'32""","85°40'19"""
414243084353302,"41°42'43.31""","84°35'33.72"""
422202083023302,"42°22'02.16""","83°02'33.22"""
420931086224402,"42°09'30.70""","86°22'44.27"""
422200083023902,"42°21'59.55""","83°02'39.52"""
420939086223302,"42°09'39.13""","86°22'33.22"""
