Time,level (mm)
10/1/16 0:00,-5106.325152
10/1/16 0:20,-5105.723506
10/1/16 0:40,-5105.662321
10/1/16 1:00,-5104.897516
10/1/16 1:20,-5104.29587
10/1/16 1:40,-5103.010997
10/1/16 2:00,-5101.950468
10/1/16 2:20,-5101.919875
10/1/16 2:40,-5102.827444
10/1/16 3:00,-5102.380068
10/1/16 3:20,-5100.543226
10/1/16 3:40,-5101.370525
10/1/16 4:00,-5100.074146
10/1/16 4:20,-5101.306722
10/1/16 4:40,-5102.377449
10/1/16 5:00,-5103.722196
10/1/16 5:20,-5105.62911
10/1/16 5:40,-5106.759712
10/1/16 6:00,-5108.430776
10/1/16 6:20,-5109.908089
10/1/16 6:40,-5111.683746
10/1/16 7:00,-5111.439009
10/1/16 7:20,-5111.398219
10/1/16 7:40,-5110.541637
10/1/16 8:00,-5111.194271
10/1/16 8:20,-5111.459403
10/1/16 8:40,-5112.273886
10/1/16 9:00,-5111.455475
10/1/16 9:20,-5114.17818
10/1/16 9:40,-5115.107453
10/1/16 10:00,-5115.43377
10/1/16 10:20,-5115.760087
10/1/16 10:40,-5115.219625
10/1/16 11:00,-5114.770939
10/1/16 11:20,-5112.935407
10/1/16 11:40,-5113.008099
10/1/16 12:00,-5111.744931
10/1/16 12:20,-5108.49196
10/1/16 12:40,-5108.105768
10/1/16 13:00,-5106.606751
10/1/16 13:20,-5105.598518
10/1/16 13:40,-5103.069562
10/1/16 14:00,-5104.212981
10/1/16 14:20,-5100.520212
10/1/16 14:40,-5101.172846
10/1/16 15:00,-5102.448831
10/1/16 15:20,-5100.990602
10/1/16 15:40,-5102.694878
10/1/16 16:00,-5101.695533
10/1/16 16:20,-5103.042899
10/1/16 16:40,-5103.053096
10/1/16 17:00,-5101.839606
10/1/16 17:20,-5102.318884
10/1/16 17:40,-5102.930728
10/1/16 18:00,-5104.17481
10/1/16 18:20,-5105.826789
10/1/16 18:40,-5107.31561
10/1/16 19:00,-5109.3143
10/1/16 19:20,-5109.508051
10/1/16 19:40,-5110.690949
10/1/16 20:00,-5110.130092
10/1/16 20:20,-5111.241609
10/1/16 20:40,-5111.404767
10/1/16 21:00,-5112.232066
10/1/16 21:20,-5112.313645
10/1/16 21:40,-5112.149177
10/1/16 22:00,-5113.270891
10/1/16 22:20,-5114.158065
10/1/16 22:40,-5113.566616
10/1/16 23:00,-5114.699837
10/1/16 23:20,-5114.342928
10/1/16 23:40,-5114.546876
10/2/16 0:00,-5112.913982
10/2/16 0:20,-5113.831748
10/2/16 0:40,-5113.86234
10/2/16 1:00,-5114.88208
10/2/16 1:20,-5113.442937
10/2/16 1:40,-5114.146558
10/2/16 2:00,-5115.013337
10/2/16 2:20,-5114.973857
10/2/16 2:40,-5114.188657
10/2/16 3:00,-5113.116621
10/2/16 3:20,-5113.913327
