 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30.10.2025    Time:  11:34: 7
 Units: L = m    , T = hours, M = mmol 



                               Node( 14)                      Node( 30)                      Node( 50)

         time            h        theta    Flux           h        theta    Flux           h        theta    Flux  
          0.0740      -18.78  0.1043  0.124E-03         -9.15  0.1614  0.121E-02         -5.07  0.2239  0.209E-02
          0.1000      -18.77  0.1043  0.123E-03         -9.13  0.1617  0.118E-02         -5.06  0.2241  0.213E-02
          0.1312      -18.76  0.1043  0.123E-03         -9.11  0.1619  0.115E-02         -5.04  0.2244  0.218E-02
          0.1722      -18.76  0.1044  0.122E-03         -9.09  0.1621  0.110E-02         -5.02  0.2249  0.224E-02
          0.2268      -18.75  0.1044  0.121E-03         -9.08  0.1622  0.105E-02         -4.99  0.2255  0.232E-02
          0.2951      -18.73  0.1045  0.120E-03         -9.07  0.1623  0.101E-02         -4.95  0.2264  0.244E-02
          0.3976      -18.72  0.1045  0.119E-03         -9.06  0.1624  0.954E-03         -4.88  0.2278  0.261E-02
          0.5000      -18.70  0.1046  0.119E-03         -9.06  0.1625  0.915E-03         -4.82  0.2294  0.276E-02
          0.6250      -18.69  0.1046  0.118E-03         -9.05  0.1626  0.882E-03         -4.74  0.2315  0.290E-02
          0.8125      -18.66  0.1047  0.118E-03         -9.03  0.1628  0.851E-03         -4.64  0.2341  0.302E-02
          1.0000      -18.63  0.1049  0.119E-03         -9.01  0.1630  0.831E-03         -4.56  0.2363  0.308E-02
          1.1667      -18.60  0.1050  0.119E-03         -8.99  0.1632  0.819E-03         -4.50  0.2379  0.309E-02
          1.5000      -18.55  0.1052  0.121E-03         -8.93  0.1638  0.816E-03         -4.41  0.2404  0.304E-02
          1.7500      -18.50  0.1053  0.123E-03         -8.89  0.1643  0.824E-03         -4.35  0.2418  0.297E-02
          2.0000      -18.45  0.1055  0.125E-03         -8.83  0.1649  0.837E-03         -4.31  0.2430  0.290E-02
          2.5000      -18.34  0.1060  0.130E-03         -8.71  0.1663  0.878E-03         -4.25  0.2447  0.276E-02
          3.0000      -18.21  0.1064  0.136E-03         -8.56  0.1680  0.925E-03         -4.20  0.2458  0.262E-02
          3.5000      -18.07  0.1070  0.143E-03         -8.40  0.1697  0.980E-03         -4.17  0.2467  0.249E-02
          4.0000      -17.92  0.1075  0.151E-03         -8.24  0.1715  0.103E-02         -4.15  0.2473  0.238E-02
          4.5000      -17.76  0.1082  0.160E-03         -8.08  0.1733  0.108E-02         -4.13  0.2477  0.227E-02
          5.0000      -17.59  0.1088  0.170E-03         -7.92  0.1751  0.111E-02         -4.12  0.2480  0.218E-02
          5.5000      -17.40  0.1095  0.181E-03         -7.77  0.1768  0.115E-02         -4.12  0.2481  0.209E-02
          6.0000      -17.20  0.1103  0.192E-03         -7.64  0.1788  0.118E-02         -4.11  0.2482  0.201E-02
          6.5000      -16.98  0.1111  0.204E-03         -7.51  0.1808  0.120E-02         -4.11  0.2483  0.193E-02
          7.0000      -16.75  0.1120  0.218E-03         -7.39  0.1826  0.122E-02         -4.11  0.2482  0.186E-02
          7.5000      -16.51  0.1129  0.232E-03         -7.29  0.1842  0.124E-02         -4.12  0.2482  0.180E-02
          8.0000      -16.26  0.1138  0.247E-03         -7.19  0.1856  0.125E-02         -4.12  0.2481  0.174E-02
          8.5000      -16.00  0.1149  0.264E-03         -7.10  0.1870  0.125E-02         -4.12  0.2479  0.168E-02
          9.0000      -15.72  0.1159  0.281E-03         -7.02  0.1882  0.125E-02         -4.13  0.2478  0.163E-02
          9.5000      -15.44  0.1172  0.300E-03         -6.95  0.1893  0.125E-02         -4.14  0.2476  0.158E-02
         10.0000      -15.18  0.1186  0.322E-03         -6.88  0.1903  0.124E-02         -4.14  0.2474  0.153E-02
         10.5000      -14.90  0.1202  0.342E-03         -6.82  0.1913  0.124E-02         -4.15  0.2472  0.149E-02
         11.0000      -14.61  0.1217  0.360E-03         -6.77  0.1921  0.123E-02         -4.16  0.2470  0.144E-02
         11.5000      -14.35  0.1232  0.386E-03         -6.71  0.1929  0.122E-02         -4.17  0.2468  0.141E-02
         12.0000      -14.09  0.1246  0.406E-03         -6.67  0.1937  0.121E-02         -4.18  0.2465  0.137E-02
         12.5000      -13.83  0.1260  0.425E-03         -6.62  0.1943  0.120E-02         -4.19  0.2463  0.133E-02
