epoch,timestamp,elapsed_time,total_loss,pde_loss,surf_loss,wt_head_loss,wt_kin_loss,ic_h_loss,ic_zb_loss,pde_grad,surf_grad,wt_head_grad,wt_kin_grad,ic_h_grad,ic_zb_grad,total_grad,pde_weight,surf_weight,wt_head_weight,wt_kin_weight,ic_h_weight,ic_zb_weight,cache_mean_residual,cache_max_residual,cache_std_residual,learning_rate,epoch_time
0,2025-09-23T18:47:32.070574,0.17832112312316895,1.0487473011016846,7.610505576849391e-07,1.0045181512832642,0.01346683967858553,2.7842458893978517e-10,0.012565328739583492,0.01819620281457901,8.265211072937851e-07,0.16364098183938716,0.47035591195733395,5.392788119841043e-11,0.40190689882509467,0.27371066209494366,0.8363088045809203,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,7.514420730103666e-08,1.1022007129213307e-07,4.453930557701824e-08,0.003,0.14141011238098145
49,2025-09-23T18:47:33.463046,1.5707929134368896,0.03179085627198219,9.661105286795646e-05,0.007003124803304672,0.003371443832293153,3.723112096398751e-12,0.02131776325404644,1.9120477645628853e-06,0.019772270133292993,0.38456639014140087,1.4045914154082082,1.5817033373507427e-10,1.2141578287992139,0.00259001785892329,1.8239619545715793,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,7.514420730103666e-08,1.1022007129213307e-07,4.453930557701824e-08,0.003,0.027687788009643555
99,2025-09-23T18:47:34.801724,2.909471035003662,0.03466198593378067,6.631881115026772e-05,0.002832168946042657,0.0026302195619791746,2.949108839078729e-12,0.029067926108837128,6.535344436997548e-05,0.0457682795122089,0.21797836160181286,2.1503504481245304,7.498660522315654e-11,2.522532338486483,0.013988998996415883,3.3519182085964268,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,7.514420730103666e-08,1.1022007129213307e-07,4.453930557701824e-08,0.003,0.025707006454467773
149,2025-09-23T18:47:36.086010,4.1937572956085205,0.0016949240816757083,0.00018101147725246847,0.0005628890939988196,0.00010908793774433434,7.2484906965542e-11,0.0008360142819583416,5.921185675106244e-06,0.1873808629172711,0.0045633932336050665,0.021106647403255026,3.386691684474038e-09,0.06962936253696617,0.004086408543442623,0.2158150635604804,100000000.0,100000000.0,0.5639294059882538,2.0,0.5549987327759246,0.9330329945894429,7.514420730103666e-08,1.1022007129213307e-07,4.453930557701824e-08,0.003,0.02415323257446289
199,2025-09-23T18:47:37.428261,5.53600811958313,0.001661938615143299,0.0002072484785458073,0.0008166657644324005,0.00028288274188525975,9.65589969093017e-11,0.00035263318568468094,2.5083666059799725e-06,0.11074319148013435,0.005217330518850904,0.3615014744861067,6.015792286300426e-09,0.017767187129457716,0.002680795258934203,0.2566145236617247,100000000.0,100000000.0,0.5639294059882538,2.0,0.5549987327759246,0.9330329945894429,7.514420730103666e-08,1.1022007129213307e-07,4.453930557701824e-08,0.003,0.026221036911010742
249,2025-09-23T18:47:38.655561,6.763308048248291,0.0014879376394674182,0.00014156426186673343,0.0006816859822720289,0.00040382263250648975,1.4714306162399993e-10,0.00025915264268405735,1.7120080428867368e-06,0.05425146583905476,0.004768340389367912,0.4132195033867218,7.384702983023829e-09,0.016484287936643676,0.0021534271861296064,0.368848355614939,100000000.0,100000000.0,0.3176978219652557,4.0,0.3086759240264119,0.87055056967765,7.514420730103666e-08,1.1022007129213307e-07,4.453930557701824e-08,0.003,0.027866840362548828
299,2025-09-23T18:47:40.016583,8.124330043792725,0.0013272317592054605,0.0002155594265786931,0.0005749555421061814,9.601985948393121e-05,1.4238052403747758e-10,0.0004397363809403032,9.604318620404229e-07,0.29668828579746914,0.004709463925850349,0.17014026928584428,7.953683154215495e-09,0.04543955496846588,0.001622468218322189,0.14648006792505447,100000000.0,100000000.0,0.3176978219652557,4.0,0.3086759240264119,0.87055056967765,7.514420730103666e-08,1.1022007129213307e-07,4.453930557701824e-08,0.003,0.030689001083374023
349,2025-09-23T18:47:41.309101,9.416848182678223,0.0010660027619451284,6.941855826880783e-05,0.0004244204028509557,0.0003010041546076536,1.8343490615357894e-10,0.00027100901934318244,1.504269420138371e-07,0.023769531726300794,0.004797305163580107,0.33845429444998487,9.79845761462191e-09,0.02799614774978981,0.0006230220060857273,0.3217780439405569,100000000.0,100000000.0,0.17874048137157394,7.999999999999998,0.17182842941822832,0.812252407601341,7.514420730103666e-08,1.1022007129213307e-07,4.453930557701824e-08,0.003,0.025226116180419922
399,2025-09-23T18:47:42.561911,10.669658184051514,0.0010019096080213785,6.608403782593086e-05,0.00036762733361683786,0.0002593692624941468,1.7982580702291528e-10,0.0003084812196902931,3.476160941318085e-07,0.028120470166449998,0.004750193872963412,0.28647105503626785,6.313815831051937e-09,0.004972998229827661,0.0009494671023681987,0.26811686710305155,100000000.0,100000000.0,0.17874048137157394,7.999999999999998,0.17182842941822832,0.812252407601341,7.514420730103666e-08,1.1022007129213307e-07,4.453930557701824e-08,0.003,0.025849103927612305
449,2025-09-23T18:47:43.849509,11.957256317138672,0.000625776476226747,6.029920041328296e-05,0.0002589312207419425,4.603558772942051e-05,2.578328106572769e-10,0.00026046682614833117,4.334891912094463e-08,0.03658816033444587,0.004490937116108173,0.06305655130903579,1.2746453795379683e-08,0.004361403556279044,0.0003247667120038184,0.0314780263539682,100000000.0,100000000.0,0.09975229226393618,15.999999999999998,0.09574055547792186,0.7578582988288999,7.514420730103666e-08,1.1022007129213307e-07,4.453930557701824e-08,0.003,0.02580714225769043
499,2025-09-23T18:47:45.141024,13.24877119064331,0.000545376562513411,5.9819525631610304e-05,0.00016230398614425212,2.4190889234887436e-05,1.5484313831137797e-10,0.00029777587042190135,1.2861439699918265e-06,0.08047581630117062,0.004061561234082377,0.012442709062455764,7.985041593707217e-09,0.033115283276471,0.0017673667273205918,0.0954539811567373,100000000.0,100000000.0,0.09975229226393618,15.999999999999998,0.09574055547792186,0.7578582988288999,7.514420730103666e-08,1.1022007129213307e-07,4.453930557701824e-08,0.003,0.02919316291809082
