epoch,timestamp,elapsed_time,total_loss,pde_loss,surf_loss,wt_head_loss,wt_kin_loss,ic_h_loss,ic_zb_loss,pde_grad,surf_grad,wt_head_grad,wt_kin_grad,ic_h_grad,ic_zb_grad,total_grad,pde_weight,surf_weight,wt_head_weight,wt_kin_weight,ic_h_weight,ic_zb_weight,cache_mean_residual,cache_max_residual,cache_std_residual,learning_rate,epoch_time
0,2025-09-30T01:29:50.517313,0.022968053817749023,1.5872292518615723,0.0,1.5872292518615723,0.0,0.0,0.0,0.0,0.0,0.2334943553211288,0.0,0.0,0.0,0.0,0.2334943553211288,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,7.366897136762418e-08,1.0610955314405146e-07,4.7006764702928194e-08,0.0001,0.01864480972290039
49,2025-09-30T01:29:51.079813,0.5854685306549072,1.5201646089553833,0.0,1.5201646089553833,0.0,0.0,0.0,0.0,0.0,0.37999392809848764,0.0,0.0,0.0,0.0,0.37999392809848764,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,7.366897136762418e-08,1.0610955314405146e-07,4.7006764702928194e-08,0.0001,0.011204957962036133
99,2025-09-30T01:29:51.641517,1.147172212600708,0.5957329273223877,0.0,0.5957329273223877,0.0,0.0,0.0,0.0,0.0,1.4660915273137132,0.0,0.0,0.0,0.0,1.4660915273137132,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,7.366897136762418e-08,1.0610955314405146e-07,4.7006764702928194e-08,0.0001,0.013280868530273438
149,2025-09-30T01:29:52.210522,1.7161767482757568,0.3819458782672882,0.0,0.3819458782672882,0.0,0.0,0.0,0.0,0.0,0.5907080071320715,0.0,0.0,0.0,0.0,0.5907080071320715,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,7.366897136762418e-08,1.0610955314405146e-07,4.7006764702928194e-08,0.0001,0.010096549987792969
199,2025-09-30T01:29:52.791187,2.296842098236084,0.30704039335250854,0.0,0.30704039335250854,0.0,0.0,0.0,0.0,0.0,0.48625397768531176,0.0,0.0,0.0,0.0,0.48625397768531176,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,7.366897136762418e-08,1.0610955314405146e-07,4.7006764702928194e-08,0.0001,0.013522863388061523
249,2025-09-30T01:29:53.410334,2.9159886837005615,0.2709199786186218,0.0,0.2709199786186218,0.0,0.0,0.0,0.0,0.0,0.39449057653441394,0.0,0.0,0.0,0.0,0.39449057653441394,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,7.366897136762418e-08,1.0610955314405146e-07,4.7006764702928194e-08,0.0001,0.011123895645141602
299,2025-09-30T01:29:53.961518,3.4671733379364014,0.24677902460098267,0.0,0.24677902460098267,0.0,0.0,0.0,0.0,0.0,0.3639346492359093,0.0,0.0,0.0,0.0,0.3639346492359093,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,7.366897136762418e-08,1.0610955314405146e-07,4.7006764702928194e-08,0.0001,0.011002302169799805
349,2025-09-30T01:29:54.519007,4.024662256240845,0.21015547215938568,0.0,0.21015547215938568,0.0,0.0,0.0,0.0,0.0,0.344383527717713,0.0,0.0,0.0,0.0,0.344383527717713,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,7.366897136762418e-08,1.0610955314405146e-07,4.7006764702928194e-08,0.0001,0.011511802673339844
399,2025-09-30T01:29:55.096650,4.602304697036743,0.1884109526872635,0.0,0.1884109526872635,0.0,0.0,0.0,0.0,0.0,0.3596456785485916,0.0,0.0,0.0,0.0,0.3596456785485916,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,7.366897136762418e-08,1.0610955314405146e-07,4.7006764702928194e-08,0.0001,0.012108325958251953
449,2025-09-30T01:29:55.699536,5.205191135406494,0.14037376642227173,0.0,0.14037376642227173,0.0,0.0,0.0,0.0,0.0,0.4352343954627635,0.0,0.0,0.0,0.0,0.4352343954627635,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,7.366897136762418e-08,1.0610955314405146e-07,4.7006764702928194e-08,0.0001,0.011002302169799805
499,2025-09-30T01:29:56.267690,5.773345470428467,0.05682101473212242,0.0,0.05682101473212242,0.0,0.0,0.0,0.0,0.0,0.8308447644411526,0.0,0.0,0.0,0.0,0.8308447644411526,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,7.366897136762418e-08,1.0610955314405146e-07,4.7006764702928194e-08,0.0001,0.013556718826293945
549,2025-09-30T01:29:56.838768,6.344422817230225,0.021355092525482178,0.0,0.021355092525482178,0.0,0.0,0.0,0.0,0.0,0.33097946627397223,0.0,0.0,0.0,0.0,0.33097946627397223,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,5.267085043669795e-07,8.99474343896145e-07,2.907093232806801e-07,0.0001,0.010166406631469727
599,2025-09-30T01:29:57.403795,6.909449815750122,0.01678035594522953,0.0,0.01678035594522953,0.0,0.0,0.0,0.0,0.0,0.18753733706702347,0.0,0.0,0.0,0.0,0.18753733706702347,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,5.267085043669795e-07,8.99474343896145e-07,2.907093232806801e-07,0.0001,0.011208295822143555
649,2025-09-30T01:29:57.960969,7.466623783111572,0.00014844648831058294,0.0,0.00014844648831058294,0.0,0.0,0.0,0.0,0.0,0.08025465408466115,0.0,0.0,0.0,0.0,0.08025465408466115,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,5.267085043669795e-07,8.99474343896145e-07,2.907093232806801e-07,0.0001,0.010142803192138672
699,2025-09-30T01:29:58.489617,7.995272397994995,7.640397234354168e-05,0.0,7.640397234354168e-05,0.0,0.0,0.0,0.0,0.0,0.0494447893277167,0.0,0.0,0.0,0.0,0.0494447893277167,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,5.267085043669795e-07,8.99474343896145e-07,2.907093232806801e-07,0.0001,0.010071516036987305
749,2025-09-30T01:29:59.060257,8.565911769866943,0.001383799477480352,0.0,0.001383799477480352,0.0,0.0,0.0,0.0,0.0,0.17780077178952342,0.0,0.0,0.0,0.0,0.17780077178952342,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,5.267085043669795e-07,8.99474343896145e-07,2.907093232806801e-07,0.0001,0.010147571563720703
799,2025-09-30T01:29:59.624768,9.130422592163086,3.539749013725668e-05,0.0,3.539749013725668e-05,0.0,0.0,0.0,0.0,0.0,0.03654166351300907,0.0,0.0,0.0,0.0,0.03654166351300907,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,5.267085043669795e-07,8.99474343896145e-07,2.907093232806801e-07,0.0001,0.01000213623046875
849,2025-09-30T01:30:00.169913,9.675568103790283,6.065331763238646e-05,0.0,6.065331763238646e-05,0.0,0.0,0.0,0.0,0.0,0.053145159977945305,0.0,0.0,0.0,0.0,0.053145159977945305,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,5.267085043669795e-07,8.99474343896145e-07,2.907093232806801e-07,0.0001,0.010001897811889648
899,2025-09-30T01:30:00.709880,10.215535163879395,0.0009422294097021222,0.0,0.0009422294097021222,0.0,0.0,0.0,0.0,0.0,0.10077964893062388,0.0,0.0,0.0,0.0,0.10077964893062388,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,5.267085043669795e-07,8.99474343896145e-07,2.907093232806801e-07,0.0001,0.009591102600097656
949,2025-09-30T01:30:01.251029,10.756683588027954,0.00014854433538857847,0.0,0.00014854433538857847,0.0,0.0,0.0,0.0,0.0,0.06334259066333155,0.0,0.0,0.0,0.0,0.06334259066333155,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,5.267085043669795e-07,8.99474343896145e-07,2.907093232806801e-07,0.0001,0.01232600212097168
999,2025-09-30T01:30:01.793338,11.298993349075317,7.9990040831035e-06,0.0,7.9990040831035e-06,0.0,0.0,0.0,0.0,0.0,0.013670888825379573,0.0,0.0,0.0,0.0,0.013670888825379573,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,5.267085043669795e-07,8.99474343896145e-07,2.907093232806801e-07,0.0001,0.010107278823852539
1049,2025-09-30T01:30:02.372506,11.878160953521729,0.00011074511712649837,0.0,0.00011074511712649837,0.0,0.0,0.0,0.0,0.0,0.06645245917842714,0.0,0.0,0.0,0.0,0.06645245917842714,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3201748743085773e-06,1.9808574052149197e-06,4.883324322690896e-07,0.0001,0.01312398910522461
1099,2025-09-30T01:30:02.913588,12.419243097305298,7.807831934769638e-06,0.0,7.807831934769638e-06,0.0,0.0,0.0,0.0,0.0,0.017411321816847538,0.0,0.0,0.0,0.0,0.017411321816847538,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3201748743085773e-06,1.9808574052149197e-06,4.883324322690896e-07,0.0001,0.011114835739135742
